product_id,product_name,category,price,brand,description
1,Crompton Premium Storage Solution YR-0122,Home & Kitchen,305.4,Crompton,Discover Prestige's space-saving solution for your modern home — designed for durability and style.
2,Pantaloons Linen Ensemble DH-1669,Clothing,80.03,Pantaloons,"Experience the elegance of Raymond's LightSalmon cotton kurta, crafted for comfort and sophistication."
3,Nivia Competition Equipment XP-0184,Sports,20.31,Nivia,"Gear up with SG's professional equipment, crafted to boost your performance and endurance on the field."
4,Tata Motors High Performance Solution aU-4627,Electronics,485.52,Tata Motors,"Reliance Digital presents its latest smart appliance, engineered for seamless performance and cutting-edge innovation."
5,Himalaya Natural Serum OG-2814,Beauty,387.9,Himalaya,"Pamper your skin with Himalaya's ayurvedic mask, specially formulated for radiant and healthy skin."
6,'Sharable bifurcated algorithm' by Penguin India XH-2528,Books,490.15,Penguin India,"User-centric needs-based array' — a captivating read from Penguin India, bringing you stories that inspire and engage."
7,Godrej Interio Space Saving Cooktop hx-9570,Home & Kitchen,241.55,Godrej Interio,Discover Havells's space-saving solution for your modern home — designed for durability and style.
8,Pantaloons Khadi Kurta fU-0391,Clothing,268.47,Pantaloons,"Experience the elegance of Raymond's Black silk kurta, crafted for comfort and sophistication."
9,Tata Motors High Performance Solution Jk-8227,Electronics,88.33,Tata Motors,"Tata Motors presents its latest smart device, engineered for seamless performance and cutting-edge innovation."
10,'Fundamental client-driven encryption' by Penguin India WU-9638,Books,127.22,Penguin India,"Focused motivating portal' — a captivating read from Penguin India, bringing you stories that inspire and engage."
11,Funskool Safe Playset CH-3465,Toys,420.08,Funskool,"Let your child explore with Zephyr's educational learning tool, designed to spark creativity and fun."
12,FabIndia Chanderi Saree bL-3315,Clothing,181.31,FabIndia,"Experience the elegance of Pantaloons's YellowGreen cotton shirt, crafted for comfort and sophistication."
13,FabIndia Cotton Saree TO-9301,Clothing,414.27,FabIndia,"Experience the elegance of FabIndia's RosyBrown silk kurta, crafted for comfort and sophistication."
14,'Cross-platform heuristic hardware' by Penguin India Gp-1051,Books,355.96,Penguin India,"Reverse-engineered even-keeled workforce' — a captivating read from HarperCollins India, bringing you stories that inspire and engage."
15,Tata Motors Digital System UK-7382,Electronics,92.7,Tata Motors,"Boat presents its latest smart device, engineered for seamless performance and cutting-edge innovation."
16,Funskool Safe Toy gg-3763,Toys,256.19,Funskool,"Let your child explore with Chicco India's safe doll, designed to spark creativity and fun."
17,Nivia Professional Equipment RP-6670,Sports,340.31,Nivia,"Gear up with Nivia's training gear, crafted to boost your performance and endurance on the field."
18,Tata Motors Digital System mm-6513,Electronics,121.34,Tata Motors,"Tata Motors presents its latest smart device, engineered for seamless performance and cutting-edge innovation."
19,Himalaya Radiant Skin Lotion Dp-2624,Beauty,416.19,Himalaya,"Pamper your skin with Himalaya's organic cream, specially formulated for radiant and healthy skin."
20,Godrej Interio Energy Efficient Cooktop af-8108,Home & Kitchen,274.69,Godrej Interio,Discover Havells's modular solution for your modern home — designed for durability and style.
21,'Operative directional knowledge user' by Penguin India zd-6773,Books,86.79,Penguin India,"Multi-tiered bandwidth-monitored help-desk' — a captivating read from Jaico Publishing, bringing you stories that inspire and engage."
22,Nivia Performance Kit YY-6064,Sports,293.58,Nivia,"Gear up with Nivia's training accessories, crafted to boost your performance and endurance on the field."
23,Funskool Interactive Playset ms-6872,Toys,499.86,Funskool,"Let your child explore with Funskool's interactive playset, designed to spark creativity and fun."
24,'Inverse zero administration time-frame' by Penguin India dd-9805,Books,79.51,Penguin India,"Upgradable logistical monitoring' — a captivating read from Rupa Publications, bringing you stories that inspire and engage."
25,'Optimized 5thgeneration algorithm' by Penguin India dG-7882,Books,409.29,Penguin India,"Decentralized homogeneous artificial intelligence' — a captivating read from HarperCollins India, bringing you stories that inspire and engage."
26,Tata Motors Compact Device Rp-2191,Electronics,107.62,Tata Motors,"Tata Motors presents its latest high-performance gadget, engineered for seamless performance and cutting-edge innovation."
27,Crompton Modular Cookware Set cN-9399,Home & Kitchen,392.28,Crompton,Discover Prestige's space-saving solution for your modern home — designed for durability and style.
28,Himalaya Moisturizing Serum qn-9985,Beauty,368.62,Himalaya,"Pamper your skin with Mamaearth's natural serum, specially formulated for radiant and healthy skin."
29,FabIndia Cotton Kurta Du-4624,Clothing,153.74,FabIndia,"Experience the elegance of FabIndia's CornflowerBlue linen kurta, crafted for comfort and sophistication."
30,FabIndia Silk Ensemble eI-7991,Clothing,166.28,FabIndia,"Experience the elegance of FabIndia's Khaki cotton shirt, crafted for comfort and sophistication."
31,'Robust empowering workforce' by Penguin India px-4251,Books,397.3,Penguin India,"Visionary explicit artificial intelligence' — a captivating read from Rupa Publications, bringing you stories that inspire and engage."
32,Godrej Interio Smart Kitchen Solution NZ-2784,Home & Kitchen,233.42,Godrej Interio,Discover Havells's modular solution for your modern home — designed for durability and style.
33,Funskool Educational Creative Set qh-8412,Toys,366.75,Funskool,"Let your child explore with Funskool's educational doll, designed to spark creativity and fun."
34,Funskool Creative Learning Kit nT-2449,Toys,78.25,Funskool,"Let your child explore with Chicco India's interactive doll, designed to spark creativity and fun."
35,Nivia Performance Kit df-4874,Sports,427.02,Nivia,"Gear up with Nivia's competition gear, crafted to boost your performance and endurance on the field."
36,Tata Motors Connected System Oq-0052,Electronics,356.89,Tata Motors,"Boat presents its latest smart gadget, engineered for seamless performance and cutting-edge innovation."
37,Godrej Interio Energy Efficient Storage Solution he-8680,Home & Kitchen,453.94,Godrej Interio,Discover Butterfly's energy-efficient solution for your modern home — designed for durability and style.
38,Godrej Interio Energy Efficient Kitchen Solution jB-0598,Home & Kitchen,70.52,Godrej Interio,Discover Butterfly's modular solution for your modern home — designed for durability and style.
39,Tata Motors Connected Device nR-4505,Electronics,298.54,Tata Motors,"Boat presents its latest high-performance gadget, engineered for seamless performance and cutting-edge innovation."
40,Funskool Interactive Learning Kit Vj-5869,Toys,301.56,Funskool,"Let your child explore with Mirada's safe learning tool, designed to spark creativity and fun."
41,Funskool Safe Learning Kit Vv-2602,Toys,179.96,Funskool,"Let your child explore with Funskool's safe playset, designed to spark creativity and fun."
42,Funskool Interactive Learning Kit cE-4216,Toys,231.94,Funskool,"Let your child explore with Funskool's safe learning tool, designed to spark creativity and fun."
43,'Streamlined modular infrastructure' by Penguin India ob-7543,Books,23.8,Penguin India,"Down-sized national superstructure' — a captivating read from Jaico Publishing, bringing you stories that inspire and engage."
